elm_func,elm_n_neurons,MAE,w2vwindow_size,w2vdimensions,w2vword_min_count,w2vtraining_epochs
lin,37,1.1066569290914967,7,50,1,15
tanh,37,1.1175254481465895,7,50,1,15
rbf_l2,37,1.1264764454310994,7,50,1,15
lin,50,1.1029112816804836,7,50,1,15
tanh,50,1.0952460704919644,7,50,1,15
rbf_l2,50,1.1032777243172975,7,50,1,15
lin,75,1.0915184105299394,7,50,1,15
tanh,75,1.0746396814675976,7,50,1,15
rbf_l2,75,1.058791391981901,7,50,1,15
lin,87,1.104211014838151,7,50,1,15
tanh,87,1.0525452061738712,7,50,1,15
rbf_l2,87,1.065151898479321,7,50,1,15
lin,100,1.099530163406293,7,50,1,15
tanh,100,1.065637731435126,7,50,1,15
rbf_l2,100,1.0618739344741521,7,50,1,15
lin,25,1.1785874393178566,7,50,3,15
tanh,25,1.147624245717057,7,50,3,15
rbf_l2,25,1.14165565927006,7,50,3,15
lin,37,1.1144469171995002,7,50,3,15
tanh,37,1.1329090260143688,7,50,3,15
rbf_l2,37,1.1106150346361872,7,50,3,15
lin,50,1.1006545761680955,7,50,3,15
tanh,50,1.0964283934018935,7,50,3,15
rbf_l2,50,1.0950677591326436,7,50,3,15
lin,75,1.1077976958340026,7,50,3,15
tanh,75,1.0652400910373045,7,50,3,15
rbf_l2,75,1.0793303473282925,7,50,3,15
lin,87,1.099106409631492,7,50,3,15
tanh,87,1.0510380708309675,7,50,3,15
rbf_l2,87,1.0693408908662745,7,50,3,15
lin,100,1.10089404964234,7,50,3,15
tanh,100,1.0618332208627852,7,50,3,15
rbf_l2,100,1.0494052105093428,7,50,3,15
lin,25,1.1883230559094025,7,50,5,15
tanh,25,1.155624767229395,7,50,5,15
rbf_l2,25,1.1507471793623183,7,50,5,15
lin,37,1.13576118025756,7,50,5,15
tanh,37,1.1322366467354743,7,50,5,15
rbf_l2,37,1.1381092757925364,7,50,5,15
lin,50,1.1050953075866063,7,50,5,15
tanh,50,1.0997814281462828,7,50,5,15
rbf_l2,50,1.102431605552193,7,50,5,15
lin,75,1.1024760471883353,7,50,5,15
tanh,75,1.0677024900919394,7,50,5,15
rbf_l2,75,1.0637828901778372,7,50,5,15
lin,87,1.0991216850902235,7,50,5,15
tanh,87,1.065899211846803,7,50,5,15
rbf_l2,87,1.0621915989889643,7,50,5,15
lin,100,1.1085040947744473,7,50,5,15
tanh,100,1.0588382083066619,7,50,5,15
rbf_l2,100,1.0684617799380716,7,50,5,15
lin,40,1.1348333896732552,2,80,1,15
tanh,40,1.157244259560679,2,80,1,15
rbf_l2,40,1.1313189687147687,2,80,1,15
lin,60,1.1080432942270833,2,80,1,15
tanh,60,1.1101362770331908,2,80,1,15
rbf_l2,60,1.1078323532745853,2,80,1,15
lin,80,1.100504992627986,2,80,1,15
tanh,80,1.094895048519632,2,80,1,15
rbf_l2,80,1.095989146558159,2,80,1,15
lin,120,1.1002781096224994,2,80,1,15
tanh,120,1.065142417247451,2,80,1,15
rbf_l2,120,1.0787798164510705,2,80,1,15
lin,140,1.08846836954429,2,80,1,15
tanh,140,1.0594007472417106,2,80,1,15
rbf_l2,140,1.0663117230601826,2,80,1,15
lin,160,1.104904219060566,2,80,1,15
tanh,160,1.0505460238689808,2,80,1,15
rbf_l2,160,1.0672987005461108,2,80,1,15
lin,40,1.1233950209067207,2,80,3,15
tanh,40,1.1398838634961603,2,80,3,15
rbf_l2,40,1.143723785003511,2,80,3,15
lin,60,1.107678328222921,2,80,3,15
tanh,60,1.11644338902068,2,80,3,15
rbf_l2,60,1.120132743901466,2,80,3,15
lin,80,1.0956722303650661,2,80,3,15
tanh,80,1.104677634177956,2,80,3,15
rbf_l2,80,1.1010232539512717,2,80,3,15
lin,120,1.0979621773479793,2,80,3,15
tanh,120,1.0566910170986723,2,80,3,15
rbf_l2,120,1.0578848719862903,2,80,3,15
lin,140,1.0944376535088503,2,80,3,15
tanh,140,1.0701065137395518,2,80,3,15
rbf_l2,140,1.0712926043732653,2,80,3,15
lin,160,1.092320239092766,2,80,3,15
tanh,160,1.0729001275716425,2,80,3,15
rbf_l2,160,1.0624170251171834,2,80,3,15
lin,40,1.1342954990451122,2,80,5,15
tanh,40,1.1447743959194177,2,80,5,15
rbf_l2,40,1.1340515155159518,2,80,5,15
lin,60,1.1126977489702008,2,80,5,15
tanh,60,1.1313449523284616,2,80,5,15
rbf_l2,60,1.1086541575943134,2,80,5,15
lin,80,1.1087395508169635,2,80,5,15
tanh,80,1.0934040080289888,2,80,5,15
rbf_l2,80,1.1116812764236594,2,80,5,15
lin,120,1.0903592506863482,2,80,5,15
tanh,120,1.0916071966917489,2,80,5,15
rbf_l2,120,1.0704123762209092,2,80,5,15
lin,140,1.095261753137107,2,80,5,15
tanh,140,1.0788837445107546,2,80,5,15
rbf_l2,140,1.0675009395643495,2,80,5,15
lin,160,1.0902246921116894,2,80,5,15
tanh,160,1.0627016198514698,2,80,5,15
rbf_l2,160,1.0451736465219665,2,80,5,15
