elm_func,elm_n_neurons,MAE,w2vwindow_size,w2vdimensions,w2vword_min_count,w2vtraining_epochs
rbf_linf,150,1.0827277077828792,5,100,1,15
sigm,175,1.039634253869047,5,100,1,15
lin,175,1.0951440136582613,5,100,1,15
tanh,175,1.0512482967312051,5,100,1,15
rbf_l2,175,1.0572206543137006,5,100,1,15
rbf_linf,175,1.1052430858696012,5,100,1,15
sigm,200,1.0374529734128406,5,100,1,15
lin,200,1.086828707788472,5,100,1,15
tanh,200,1.05327435658432,5,100,1,15
rbf_l2,200,1.0543725810481415,5,100,1,15
rbf_linf,200,1.0498418847521027,5,100,1,15
sigm,33,1.1543333766489652,5,100,1,15
lin,33,1.1543323226025481,5,100,1,15
tanh,33,1.1480668036285846,5,100,1,15
rbf_l2,33,1.190688881485625,5,100,1,15
rbf_linf,33,1.1767703409501737,5,100,1,15
sigm,50,1.1463091288589236,5,100,1,15
lin,50,1.1361957329046188,5,100,1,15
tanh,50,1.1372014963721246,5,100,1,15
rbf_l2,50,1.1335191554706738,5,100,1,15
rbf_linf,50,1.1207578628849804,5,100,1,15
sigm,75,1.105442730148567,5,100,1,15
lin,75,1.0946230447284975,5,100,1,15
tanh,75,1.0904967256888574,5,100,1,15
rbf_l2,75,1.103196461365823,5,100,1,15
rbf_linf,75,1.106453880257705,5,100,1,15
sigm,100,1.0949461350585985,5,100,1,15
lin,100,1.0896188671205014,5,100,1,15
