estimator,r2_performance_mean,r2_performance_std,analyzer,ngram_range,stop_words,tfidf__use_idf,sgd__loss,sgd__penalty,sgd__alpha,sgd__learning_rate
SGDRegression,-2.591174107281807e+19,2.114704019686243e+19,char,"(1,9)",yes,True,squared_loss,l1,0.0001,optimal
SGDRegression,-5.893542276238632e+20,8.94904719599512e+19,char,"(1,9)",yes,False,squared_loss,l1,0.0001,optimal
SGDRegression,-566315008377.2473,1069793129432.177,char,"(1,9)",yes,True,squared_loss,l2,0.0001,optimal
SGDRegression,-762505505478826.0,1409490911711692.5,char,"(1,9)",yes,False,squared_loss,l2,0.0001,optimal
SGDRegression,-6255880760865.502,7725888983837.251,char,"(1,9)",yes,True,squared_loss,elasticnet,0.0001,optimal
SGDRegression,-2623336575669473.5,2075621314422853.0,char,"(1,9)",yes,False,squared_loss,elasticnet,0.0001,optimal
SGDRegression,0.3277933929854865,0.009799949889038779,char,"(1,9)",yes,True,huber,l1,0.0001,optimal
SGDRegression,0.4153402381981476,0.006673410727090232,char,"(1,9)",yes,False,huber,l1,0.0001,optimal
SGDRegression,0.49517513929903884,0.009662767491020503,char,"(1,9)",yes,True,huber,l2,0.0001,optimal
SGDRegression,0.5079108392673815,0.007806430013093411,char,"(1,9)",yes,False,huber,l2,0.0001,optimal
SGDRegression,0.4362205052697373,0.011252925789337322,char,"(1,9)",yes,True,huber,elasticnet,0.0001,optimal
SGDRegression,0.4758875004201615,0.010274359881235954,char,"(1,9)",yes,False,huber,elasticnet,0.0001,optimal
SGDRegression,0.488006709384187,0.010258826488649763,char,"(1,9)",yes,True,squared_loss,l1,1e-05,invscaling
SGDRegression,0.4951685340143996,0.007786798789709675,char,"(1,9)",yes,False,squared_loss,l1,1e-05,invscaling
SGDRegression,0.4964529914244732,0.010083836819196286,char,"(1,9)",yes,True,squared_loss,l2,1e-05,invscaling
SGDRegression,0.5003508509195886,0.007476581489174447,char,"(1,9)",yes,False,squared_loss,l2,1e-05,invscaling
SGDRegression,0.49510994577070394,0.010126172984529747,char,"(1,9)",yes,True,squared_loss,elasticnet,1e-05,invscaling
SGDRegression,0.4992897128702901,0.007521029607445972,char,"(1,9)",yes,False,squared_loss,elasticnet,1e-05,invscaling
SGDRegression,-0.32364961721124386,0.0167524266430241,char,"(1,9)",yes,True,huber,l1,1e-05,invscaling
SGDRegression,-0.25448233923804475,0.017235091024325876,char,"(1,9)",yes,False,huber,l1,1e-05,invscaling
SGDRegression,-0.3212424922775317,0.016717566009358482,char,"(1,9)",yes,True,huber,l2,1e-05,invscaling
SGDRegression,-0.2519730280919056,0.017186131914629445,char,"(1,9)",yes,False,huber,l2,1e-05,invscaling
SGDRegression,-0.3216712930873026,0.016766732912350597,char,"(1,9)",yes,True,huber,elasticnet,1e-05,invscaling
SGDRegression,-0.25236871296539365,0.017138583947203155,char,"(1,9)",yes,False,huber,elasticnet,1e-05,invscaling
SGDRegression,0.5613677406399832,0.007576387271440485,char,"(1,9)",yes,True,squared_loss,l1,1e-05,constant
SGDRegression,0.5726531007530603,0.003646605054258394,char,"(1,9)",yes,False,squared_loss,l1,1e-05,constant
SGDRegression,0.5567851600741335,0.009577098321323812,char,"(1,9)",yes,True,squared_loss,l2,1e-05,constant
SGDRegression,0.5740905549911371,0.006937034812544851,char,"(1,9)",yes,False,squared_loss,l2,1e-05,constant
SGDRegression,0.5584724291207647,0.009217661346276962,char,"(1,9)",yes,True,squared_loss,elasticnet,1e-05,constant
SGDRegression,0.5734289717713519,0.00635468409978724,char,"(1,9)",yes,False,squared_loss,elasticnet,1e-05,constant
SGDRegression,0.1661676329375222,0.011761137382632889,char,"(1,9)",yes,True,huber,l1,1e-05,constant
SGDRegression,0.3471766007651299,0.004948484305720978,char,"(1,9)",yes,False,huber,l1,1e-05,constant
SGDRegression,0.2656945065292996,0.01278223446472336,char,"(1,9)",yes,True,huber,l2,1e-05,constant
SGDRegression,0.39581127234912883,0.006595498625700685,char,"(1,9)",yes,False,huber,l2,1e-05,constant
SGDRegression,0.23561750746109872,0.010536904923812316,char,"(1,9)",yes,True,huber,elasticnet,1e-05,constant
SGDRegression,0.38511651006123887,0.005482592350285964,char,"(1,9)",yes,False,huber,elasticnet,1e-05,constant
SGDRegression,-2.09865616487789e+20,4.775281530991559e+19,char,"(1,9)",yes,True,squared_loss,l1,1e-05,optimal
SGDRegression,-3.1565088062565555e+20,2.720450533055335e+19,char,"(1,9)",yes,False,squared_loss,l1,1e-05,optimal
SGDRegression,-64351706403592.85,81400241664355.38,char,"(1,9)",yes,True,squared_loss,l2,1e-05,optimal
SGDRegression,-190375035576000.56,192448376855013.66,char,"(1,9)",yes,False,squared_loss,l2,1e-05,optimal
SGDRegression,-824788604269763.0,521307208544119.6,char,"(1,9)",yes,True,squared_loss,elasticnet,1e-05,optimal
SGDRegression,-1143520320662118.5,924131988325623.8,char,"(1,9)",yes,False,squared_loss,elasticnet,1e-05,optimal
SGDRegression,0.528184205945782,0.008488443641080184,char,"(1,9)",yes,True,huber,l1,1e-05,optimal
SGDRegression,0.5346051135993672,0.00470947232837661,char,"(1,9)",yes,False,huber,l1,1e-05,optimal
SGDRegression,0.5617985133612562,0.006545964330223406,char,"(1,9)",yes,True,huber,l2,1e-05,optimal
SGDRegression,0.570784732167985,0.003948418698672975,char,"(1,9)",yes,False,huber,l2,1e-05,optimal
SGDRegression,0.5543342458146576,0.0061989976323004025,char,"(1,9)",yes,True,huber,elasticnet,1e-05,optimal
SGDRegression,0.559942023280357,0.006525363461991224,char,"(1,9)",yes,False,huber,elasticnet,1e-05,optimal
SGDRegression,0.4957426032206559,0.010105759417643145,char,"(1,9)",yes,True,squared_loss,l1,1e-06,invscaling
SGDRegression,0.49963649947617944,0.007425154628280321,char,"(1,9)",yes,False,squared_loss,l1,1e-06,invscaling
SGDRegression,0.4966263406420319,0.010086210060272245,char,"(1,9)",yes,True,squared_loss,l2,1e-06,invscaling
SGDRegression,0.5002079043038972,0.007368674594320318,char,"(1,9)",yes,False,squared_loss,l2,1e-06,invscaling
SGDRegression,0.49655640559990194,0.010112689755741783,char,"(1,9)",yes,True,squared_loss,elasticnet,1e-06,invscaling
SGDRegression,0.5000827713151936,0.0078015986550407325,char,"(1,9)",yes,False,squared_loss,elasticnet,1e-06,invscaling
SGDRegression,-0.3215002857780159,0.01676463624641652,char,"(1,9)",yes,True,huber,l1,1e-06,invscaling
SGDRegression,-0.25223061092368726,0.017207399805097636,char,"(1,9)",yes,False,huber,l1,1e-06,invscaling
SGDRegression,-0.3212270928891209,0.016726961166573823,char,"(1,9)",yes,True,huber,l2,1e-06,invscaling
SGDRegression,-0.25196656927591593,0.017104971942690065,char,"(1,9)",yes,False,huber,l2,1e-06,invscaling
SGDRegression,-0.32121793079010785,0.01672628032369435,char,"(1,9)",yes,True,huber,elasticnet,1e-06,invscaling
SGDRegression,-0.2520623993380335,0.01719346134469896,char,"(1,9)",yes,False,huber,elasticnet,1e-06,invscaling
SGDRegression,0.5551227980833716,0.009803251308427503,char,"(1,9)",yes,True,squared_loss,l1,1e-06,constant
SGDRegression,0.5713344398083772,0.006721874852389983,char,"(1,9)",yes,False,squared_loss,l1,1e-06,constant
SGDRegression,0.5542635919184876,0.01003491453817056,char,"(1,9)",yes,True,squared_loss,l2,1e-06,constant
SGDRegression,0.5716465399392578,0.0075336038783287455,char,"(1,9)",yes,False,squared_loss,l2,1e-06,constant
SGDRegression,0.5544656852305536,0.009951359837841919,char,"(1,9)",yes,True,squared_loss,elasticnet,1e-06,constant
SGDRegression,0.5718194537473533,0.006442432242032628,char,"(1,9)",yes,False,squared_loss,elasticnet,1e-06,constant
SGDRegression,0.25068347111057154,0.010305070557051241,char,"(1,9)",yes,True,huber,l1,1e-06,constant
SGDRegression,0.39325692912589966,0.005892329483196642,char,"(1,9)",yes,False,huber,l1,1e-06,constant
SGDRegression,0.2737485189266672,0.00915872546417926,char,"(1,9)",yes,True,huber,l2,1e-06,constant
SGDRegression,0.39713470843535237,0.0065254711645131285,char,"(1,9)",yes,False,huber,l2,1e-06,constant
SGDRegression,0.2710120645517282,0.009582616861371775,char,"(1,9)",yes,True,huber,elasticnet,1e-06,constant
SGDRegression,0.39672232473179486,0.006653341374147605,char,"(1,9)",yes,False,huber,elasticnet,1e-06,constant
SGDRegression,-3.3722861622410504e+20,5.558397381802147e+19,char,"(1,9)",yes,True,squared_loss,l1,1e-06,optimal
SGDRegression,-3.971071514427854e+20,9.797353722281435e+19,char,"(1,9)",yes,False,squared_loss,l1,1e-06,optimal
SGDRegression,-9.71273531742271e+16,5.420600725613884e+16,char,"(1,9)",yes,True,squared_loss,l2,1e-06,optimal
SGDRegression,-5.55883157293139e+16,1.7897518416742624e+16,char,"(1,9)",yes,False,squared_loss,l2,1e-06,optimal
SGDRegression,-8.116150649753876e+17,3.721076346250597e+17,char,"(1,9)",yes,True,squared_loss,elasticnet,1e-06,optimal
SGDRegression,-1.0079707962048334e+17,2.676223728394637e+16,char,"(1,9)",yes,False,squared_loss,elasticnet,1e-06,optimal
SGDRegression,0.5065446524207052,0.013823029514017406,char,"(1,9)",yes,True,huber,l1,1e-06,optimal
SGDRegression,0.5217451359148366,0.010598487904450974,char,"(1,9)",yes,False,huber,l1,1e-06,optimal
SGDRegression,0.5038554477857295,0.011309119800759302,char,"(1,9)",yes,True,huber,l2,1e-06,optimal
SGDRegression,0.5252204359156268,0.03340655341704977,char,"(1,9)",yes,False,huber,l2,1e-06,optimal
SGDRegression,0.5087874738998487,0.01200226140221761,char,"(1,9)",yes,True,huber,elasticnet,1e-06,optimal
SGDRegression,0.538434851282766,0.011162219844772338,char,"(1,9)",yes,False,huber,elasticnet,1e-06,optimal
