svr__C,svr__epsilon,svr__kernel,vect__analyzer,vect__ngram_range,vect__preprocessor,mean_test_score,std_test_score,rank_test_score,mean_fit_time
10.0,1.0,rbf,char,"(2, 6)",rmstop_clean_stem,-1.611027506467388,0.021286080368562266,75,0.9648835062980652
10.0,1.0,rbf,char,"(4, 12)",rmstop_clean_stem,-1.6896116478943777,0.02840341295476873,109,2.046819567680359
10.0,1.0,rbf,char,"(6, 8)",rmstop_clean_stem,-1.6894465634060667,0.0296302385920295,108,0.7578924894332886
10.0,1.0,poly,char,"(1, 5)",rmstop_clean_stem,-1.79662298946723,0.03458069594903262,136,0.9607506990432739
10.0,1.0,poly,char,"(2, 6)",rmstop_clean_stem,-1.9202086207241298,0.040416572081145075,168,1.1327282786369324
10.0,1.0,poly,char,"(4, 12)",rmstop_clean_stem,-2.028204198754603,0.03913255096165159,216,2.2928935885429382
10.0,1.0,poly,char,"(6, 8)",rmstop_clean_stem,-2.011244782477185,0.03903215324784559,212,0.8944146633148193
1.0,0.01,linear,char,"(1, 5)",rmstop_clean_stem,-1.5401607747074872,0.03818390528921784,14,1.320349633693695
1.0,0.01,linear,char,"(2, 6)",rmstop_clean_stem,-1.5402395432272664,0.04129729721488345,16,1.464702844619751
1.0,0.01,linear,char,"(4, 12)",rmstop_clean_stem,-1.5750528803807105,0.03998535722274995,37,2.5351268649101257
1.0,0.01,linear,char,"(6, 8)",rmstop_clean_stem,-1.5887678980961624,0.038638291789818945,50,1.1054416298866272
1.0,0.01,rbf,char,"(1, 5)",rmstop_clean_stem,-1.579446944263007,0.01843343933127097,38,1.3323217034339905
1.0,0.01,rbf,char,"(2, 6)",rmstop_clean_stem,-1.5953082115712633,0.022034449083353305,55,1.3359551429748535
1.0,0.01,rbf,char,"(4, 12)",rmstop_clean_stem,-1.7110061565259835,0.041708914818504104,131,2.6404587626457214
1.0,0.01,rbf,char,"(6, 8)",rmstop_clean_stem,-1.7005945188467755,0.03947580886705386,122,1.0077556371688843
1.0,0.01,poly,char,"(1, 5)",rmstop_clean_stem,-1.8098566167514638,0.05070657321203449,143,1.292928695678711
1.0,0.01,poly,char,"(2, 6)",rmstop_clean_stem,-1.9525958664647558,0.06371737393492177,187,1.3974998593330383
1.0,0.01,poly,char,"(4, 12)",rmstop_clean_stem,-2.070255548639887,0.06392957312482955,241,2.6647278666496277
1.0,0.01,poly,char,"(6, 8)",rmstop_clean_stem,-2.0472120229317823,0.06492457820750808,230,1.0325402617454529
1.0,0.025,linear,char,"(1, 5)",rmstop_clean_stem,-1.539521172945218,0.03834127239889714,11,1.331923484802246
1.0,0.025,linear,char,"(2, 6)",rmstop_clean_stem,-1.5398997232246612,0.04127238304062677,12,1.4139323830604553
