svr__C,svr__kernel,vect__analyzer,vect__ngram_range,vect__preprocessor,mean_test_score,std_test_score,rank_test_score,mean_fit_time
1.0,linear,char_wb,"(4, 8)",<lambda>,-1.108213986611804,0.044574206133299786,48,2.711609363555908
1.0,linear,char_wb,"(4, 8)",rmstop_clean_stem,-1.1180984473880957,0.03330137049694466,67,2.2009947896003723
1.0,linear,char_wb,"(4, 12)",<lambda>,-1.1191177122938463,0.04613790839423209,69,3.2739298939704895
1.0,linear,char_wb,"(4, 12)",rmstop_clean_stem,-1.1234758453236258,0.033103268507206976,78,2.4911089539527893
1.0,linear,char_wb,"(4, 16)",<lambda>,-1.1222408044135004,0.0466619754966217,75,3.48473197221756
1.0,linear,char_wb,"(4, 16)",rmstop_clean_stem,-1.124618761507671,0.03315099685587795,80,2.6381426453590393
1.0,linear,char_wb,"(6, 8)",<lambda>,-1.1197415993798063,0.043274276252471294,73,1.495827555656433
1.0,linear,char_wb,"(6, 8)",rmstop_clean_stem,-1.1196508818062247,0.03324336341795478,71,1.2100219130516052
1.0,linear,char_wb,"(6, 12)",<lambda>,-1.136556593752319,0.043641061399045264,114,1.9069284200668335
1.0,linear,char_wb,"(6, 12)",rmstop_clean_stem,-1.128537516597498,0.030576663163870994,92,1.4565774202346802
1.0,linear,char_wb,"(6, 12)",<lambda>,-1.136556593752319,0.043641061399045264,114,1.929806113243103
1.0,linear,char_wb,"(6, 12)",rmstop_clean_stem,-1.128537516597498,0.030576663163870994,92,1.446570098400116
1.0,linear,char_wb,"(6, 16)",<lambda>,-1.1402073236957615,0.04214094420405103,120,2.042965888977051
1.0,linear,char_wb,"(6, 16)",rmstop_clean_stem,-1.1299586880643122,0.03034197797603358,95,1.47658109664917
1.0,linear,char_wb,"(8, 8)",<lambda>,-1.1145592339569677,0.03879885722070437,61,0.607136070728302
1.0,linear,char_wb,"(8, 8)",rmstop_clean_stem,-1.1181222061355949,0.03799547940722972,68,0.6473954319953918
1.0,linear,char_wb,"(8, 12)",<lambda>,-1.148798859298042,0.03672533831822441,131,1.0592381358146667
1.0,linear,char_wb,"(8, 12)",rmstop_clean_stem,-1.1354971067676682,0.030736175880429432,107,0.8661941885948181
1.0,linear,char_wb,"(8, 12)",<lambda>,-1.148798859298042,0.03672533831822441,131,1.0534864664077759
1.0,linear,char_wb,"(8, 12)",rmstop_clean_stem,-1.1354971067676682,0.030736175880429432,107,0.885948657989502
1.0,linear,char_wb,"(8, 16)",<lambda>,-1.1543942550984614,0.03504249896642676,145,1.2072710394859314
1.0,linear,char_wb,"(8, 16)",rmstop_clean_stem,-1.138906394212121,0.030375733874238763,118,0.9424617886543274
1.0,sigmoid,char,"(2, 4)",<lambda>,-1.0932955282893884,0.02598661996611864,26,3.392262279987335
1.0,sigmoid,char,"(2, 4)",rmstop_clean_stem,-1.0987679407544277,0.02986178094434309,31,3.046684205532074
1.0,sigmoid,char,"(2, 8)",<lambda>,-1.0862806809506815,0.030408764082515697,17,7.47968053817749
1.0,sigmoid,char,"(2, 8)",rmstop_clean_stem,-1.0801819054669028,0.02740369207243821,9,6.331671595573425
1.0,sigmoid,char,"(2, 12)",<lambda>,-1.087032461510383,0.03312648002417394,18,11.659017562866211
1.0,sigmoid,char,"(2, 12)",rmstop_clean_stem,-1.082354561613907,0.02950782225585404,11,9.671999752521515
1.0,sigmoid,char,"(2, 16)",<lambda>,-1.0931760335317828,0.032890394212762665,25,15.579378008842468
1.0,sigmoid,char,"(2, 16)",rmstop_clean_stem,-1.0850256945896062,0.029837403574800157,16,12.171982765197754
1.0,sigmoid,char,"(4, 4)",<lambda>,-1.1067383671196278,0.030448567144747536,46,1.6553717255592346
1.0,sigmoid,char,"(4, 4)",rmstop_clean_stem,-1.101126585745314,0.024415122024739954,35,1.6076109409332275
1.0,sigmoid,char,"(4, 8)",<lambda>,-1.1004064941664904,0.029909475751615452,34,5.723036050796509
1.0,sigmoid,char,"(4, 8)",rmstop_clean_stem,-1.0950069982546256,0.02445641865210417,29,4.740337371826172
1.0,sigmoid,char,"(4, 12)",<lambda>,-1.1062297625921098,0.03256095871384469,44,9.634864330291748
